"HiddenUnit1Encoding,","HiddenUnit2Encoding,","HiddenUnit3Encoding,"
0.51509,0.51325,0.53347
0.51509,0.5192,0.54054
0.51509,0.52928,0.55157
0.51509,0.53993,0.56304
0.51509,0.54985,0.57366
0.51509,0.55869,0.58309
0.51509,0.56644,0.59134
0.51509,0.5732,0.59853
0.51509,0.5791,0.6048
0.51509,0.58427,0.61029
0.51509,0.5888,0.61511
0.51509,0.5928,0.61935
0.51509,0.59634,0.62311
0.51509,0.59948,0.62645
0.51509,0.60228,0.62942
0.51509,0.60479,0.63208
0.51509,0.60702,0.63447
0.51509,0.60903,0.63661
0.51509,0.61084,0.63854
0.51509,0.61247,0.64029
0.51509,0.61394,0.64186
0.51509,0.61526,0.64329
0.51509,0.61646,0.64458
0.51509,0.61754,0.64575
0.51509,0.61852,0.64681
0.51509,0.6194,0.64778
0.51509,0.6202,0.64865
0.51509,0.62092,0.64945
0.51509,0.62157,0.65017
0.51509,0.62216,0.65082
0.51509,0.62269,0.65142
0.51509,0.62316,0.65196
0.51509,0.62359,0.65244
0.51509,0.62397,0.65288
0.51509,0.62431,0.65328
0.51509,0.62461,0.65364
0.51509,0.62488,0.65396
0.51509,0.62511,0.65425
0.51509,0.62532,0.6545
0.51509,0.6255,0.65473
0.51509,0.62565,0.65493
0.51509,0.62578,0.6551
0.51509,0.62589,0.65525
0.51509,0.62598,0.65539
0.51509,0.62605,0.6555
0.51509,0.6261,0.65559
0.51509,0.62614,0.65566
0.51509,0.62616,0.65572
0.51509,0.62617,0.65577
0.51509,0.62617,0.6558
0.51509,0.62616,0.65582
0.51509,0.62613,0.65582
0.51509,0.62609,0.65582
0.51509,0.62605,0.6558
0.51509,0.626,0.65578
0.51509,0.62594,0.65574
0.51509,0.62587,0.6557
0.51509,0.62579,0.65565
0.51509,0.62571,0.65559
0.51509,0.62562,0.65553
0.51509,0.62553,0.65546
0.51509,0.62544,0.65538
0.51509,0.62533,0.65529
0.51509,0.62523,0.65521
0.51509,0.62512,0.65511
0.51509,0.625,0.65501
0.51509,0.62489,0.65491
0.51509,0.62477,0.6548
0.51509,0.62465,0.65469
0.51509,0.62452,0.65458
0.51509,0.62439,0.65446
0.51509,0.62426,0.65433
0.51509,0.62413,0.65421
0.51509,0.624,0.65408
0.51509,0.62387,0.65395
0.51509,0.62373,0.65382
0.51509,0.62359,0.65368
0.51509,0.62346,0.65354
0.51509,0.62332,0.6534
0.51509,0.62318,0.65326
0.51509,0.62304,0.65312
0.51509,0.6229,0.65297
0.51509,0.62275,0.65282
0.51509,0.62261,0.65267
0.51509,0.62247,0.65252
0.51509,0.62233,0.65237
0.51509,0.62218,0.65222
0.51509,0.62204,0.65206
0.51509,0.6219,0.6519
0.51509,0.62176,0.65175
0.51509,0.62161,0.65159
0.51509,0.62147,0.65143
0.51509,0.62133,0.65126
0.51509,0.62118,0.6511
0.51509,0.62104,0.65094
0.51509,0.6209,0.65077
0.51509,0.62076,0.65061
0.51509,0.62062,0.65044
0.51509,0.62048,0.65027
0.51509,0.62034,0.65011
0.51509,0.6202,0.64994
