"SSEoutputunit1,","SSEoutputunit2,","SSEoutputunit3,","SSEoutputunit4,","SSEoutputunit5,","SSEoutputunit6,","SSEoutputunit7,","SSEoutputunit8,"
0.18886,0.19158,0.16489,0.21049,0.19144,0.16515,0.18626,0.33708
0.13291,0.13528,0.11997,0.14763,0.13653,0.12174,0.13458,0.41804
0.09915,0.10114,0.09209,0.10945,0.1028,0.09437,0.10243,0.48075
0.0779,0.07956,0.07395,0.08544,0.08126,0.07631,0.08161,0.52883
0.06381,0.06522,0.06157,0.06958,0.06682,0.06384,0.06751,0.56609
0.05401,0.05522,0.05276,0.05861,0.05671,0.05489,0.05754,0.59549
0.04692,0.04797,0.04626,0.0507,0.04935,0.04824,0.05023,0.61909
0.0416,0.04253,0.04131,0.0448,0.04381,0.04316,0.0447,0.63838
0.03751,0.03833,0.03745,0.04026,0.03953,0.03917,0.04041,0.65436
0.03427,0.03502,0.03437,0.03669,0.03614,0.03598,0.03701,0.66779
0.03167,0.03235,0.03187,0.03382,0.03341,0.03338,0.03425,0.6792
0.02954,0.03016,0.02981,0.03147,0.03118,0.03124,0.03199,0.689
0.02777,0.02834,0.02808,0.02953,0.02932,0.02944,0.03011,0.69747
0.02628,0.02681,0.02662,0.0279,0.02775,0.02792,0.02852,0.70487
0.02501,0.02551,0.02538,0.02651,0.02642,0.02661,0.02717,0.71137
0.02392,0.02439,0.02431,0.02532,0.02528,0.02549,0.02601,0.7171
0.02298,0.02342,0.02337,0.02429,0.02429,0.02451,0.025,0.7222
0.02217,0.02258,0.02256,0.0234,0.02343,0.02366,0.02412,0.72675
0.02145,0.02184,0.02184,0.02261,0.02267,0.0229,0.02335,0.73082
0.02081,0.02118,0.02121,0.02192,0.022,0.02224,0.02267,0.73449
0.02025,0.0206,0.02064,0.02131,0.02141,0.02164,0.02207,0.73779
0.01975,0.02009,0.02014,0.02076,0.02089,0.02111,0.02153,0.74078
0.0193,0.01962,0.01969,0.02027,0.02042,0.02064,0.02105,0.7435
0.0189,0.01921,0.01928,0.01984,0.02,0.02021,0.02062,0.74597
0.01854,0.01883,0.01892,0.01944,0.01962,0.01983,0.02023,0.74823
0.01821,0.0185,0.01859,0.01908,0.01927,0.01948,0.01988,0.75029
0.01792,0.01819,0.01828,0.01876,0.01896,0.01916,0.01957,0.75217
0.01765,0.01791,0.01801,0.01847,0.01868,0.01887,0.01928,0.7539
0.0174,0.01766,0.01776,0.0182,0.01843,0.0186,0.01902,0.75549
0.01718,0.01742,0.01753,0.01796,0.01819,0.01836,0.01878,0.75695
0.01698,0.01721,0.01732,0.01773,0.01798,0.01814,0.01856,0.7583
0.01679,0.01702,0.01713,0.01753,0.01778,0.01794,0.01836,0.75954
0.01662,0.01684,0.01696,0.01734,0.0176,0.01775,0.01818,0.76068
0.01646,0.01668,0.01679,0.01717,0.01744,0.01758,0.01801,0.76174
0.01632,0.01653,0.01665,0.01701,0.01729,0.01742,0.01785,0.76273
0.01618,0.01639,0.01651,0.01687,0.01715,0.01728,0.01771,0.76363
0.01606,0.01626,0.01638,0.01673,0.01702,0.01714,0.01758,0.76447
0.01595,0.01614,0.01626,0.01661,0.01691,0.01702,0.01746,0.76526
0.01584,0.01603,0.01615,0.01649,0.0168,0.0169,0.01735,0.76598
0.01574,0.01593,0.01605,0.01638,0.0167,0.01679,0.01725,0.76665
0.01566,0.01583,0.01596,0.01629,0.0166,0.0167,0.01715,0.76728
0.01557,0.01575,0.01587,0.01619,0.01652,0.0166,0.01707,0.76786
0.01549,0.01567,0.01579,0.01611,0.01644,0.01652,0.01698,0.7684
0.01542,0.01559,0.01572,0.01603,0.01637,0.01644,0.01691,0.76891
0.01536,0.01552,0.01565,0.01596,0.0163,0.01636,0.01684,0.76938
0.0153,0.01545,0.01558,0.01589,0.01623,0.01629,0.01678,0.76981
0.01524,0.01539,0.01552,0.01583,0.01618,0.01623,0.01672,0.77022
0.01518,0.01534,0.01547,0.01577,0.01612,0.01617,0.01666,0.7706
0.01513,0.01528,0.01542,0.01571,0.01607,0.01611,0.01661,0.77096
0.01509,0.01524,0.01537,0.01566,0.01602,0.01606,0.01656,0.77129
0.01505,0.01519,0.01532,0.01561,0.01598,0.01601,0.01652,0.7716
0.015,0.01515,0.01528,0.01557,0.01594,0.01597,0.01647,0.77189
0.01497,0.01511,0.01524,0.01553,0.0159,0.01592,0.01644,0.77216
0.01493,0.01507,0.0152,0.01549,0.01586,0.01588,0.0164,0.77241
0.0149,0.01504,0.01517,0.01545,0.01583,0.01585,0.01637,0.77264
0.01487,0.015,0.01513,0.01542,0.0158,0.01581,0.01633,0.77286
0.01484,0.01497,0.0151,0.01539,0.01577,0.01578,0.01631,0.77307
0.01481,0.01494,0.01508,0.01536,0.01575,0.01575,0.01628,0.77326
0.01479,0.01492,0.01505,0.01533,0.01572,0.01572,0.01625,0.77345
